words_list,labels
"['love' 'to' 'watch' 'up' 'coming' 'FIFA' 'the' 'event' 'is' 'happening'
 'in' 'kochi' '#FIFATrophyExperience' '@bankofbaroda']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'name' 'lang1' 'other']"
"['He' 'explained' 'every' 'ignorant' 'voter' 'about' 'different' 'party'
 'symbols' 'but' 'did' 'n’t' 'tell' 'them' 'about' 'NOTA' '!' '#newton']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'name']"
['@DribblingKova' 'Should' 'have' 'been' 'one' 'of' 'Kroos/Modric' '.'],['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'other']
['Kya' 'baat' 'hai' 'Virat' 'Bro' '!' 'Looking' 'awesome'],['lang2' 'lang2' 'lang2' 'name' 'lang1' 'other' 'lang1' 'lang1']
"['@OneChilledBeer' 'some' 'so' 'called' 'celebs' ',' ':' 'x']",['other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'other']
['Woooow' 'beautiful' 'friend' 'you'],['lang1' 'lang1' 'lang1' 'lang1']
"['Aap' '4' 'number' 'pe' 'hi' 'bale' 'baji' 'kare' 'aap' 'ke' 'liye'
 'acha' 'rahega' 'aur' 'team' 'har' 'match' 'jitega']","['lang2' 'other' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang1' 'lang2']"
['@KatrinaKaifFanz' '@GoGreenKatrina' 'Very' 'Cute'],['other' 'other' 'lang1' 'lang1']
"['Amit' 'Jee' 'Baramula' 'J&K' 'me' 'phirse' 'terrorist' 'ne' 'hamla'
 'kiya' 'hai' '.']","['name' 'lang2' 'name' 'name' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'other']"
['happy' 'birthday' 'sir' 'jii'],['lang1' 'lang1' 'lang1' 'lang2']
"['I' 'love' 'that' 'type' 'cool' 'captain' '.' 'India' 'proud' 'of' 'you'
 '.' 'Me' 'from' 'Pakistan' 'but' 'I' 'like' 'you' 'very' 'much' 'dhoni']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'name' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'name']"
"['@sardesairajdeep' 'Kudos' 'to' 'journalists' 'like' 'you' ',' 'who'
 'never' 'fail' 'to' 'paint' 'any' 'news' 'with' 'communal' 'colour' '.'
 'Do' ""n't"" 'know' 'what' 'fun' 'they' 'get' '.']","['name' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
"['I' 'am' 'not' 'an' 'IITian' '..' 'but' 'I' 'think' 'I' 'know' 'this'
 'guy' '....' 'Mr.' 'Rocket' 'Propelled' 'Grenade']","['lang1' 'lang1' 'lang1' 'lang1' 'name' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1']"
"['Koi' 'baat' 'nhi' 'yaar' 'vaise' 'bhi' 'parents' 'k' 'pause' 'jaane'
 'hi' 'the' 'ab' 'tuition' 'nhi' 'tof' 'shoppng' 'shi' '.....' ':-)']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang1' 'lang2'
 'other' 'other']"
['BOT' 'BY' '<3' 'MALIK' 'HAMZA' '<3'],['lang1' 'lang1' 'other' 'name' 'name' 'other']
"['Jinx' 'abt' 'to' 'be' 'broken' '...' 'Mauke' 'pe' 'chauka' 'boss'
 '#IndVsSA' '#MaukaMauka' '#CWC15' '...' 'Superb' 'team' 'work']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang1' 'lang2' 'name' 'other' 'lang1' 'lang1' 'lang1']"
"['@mohit0205' '@jayeshdewana12' 'They' 'are' 'sitting' 'in' 'there' 'news'
 'room' 'and' 'debating' 'over' 'the' 'reports' 'released' 'by' 'the'
 'Myanmar' 'army' '.']","['other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name'
 'lang1' 'other']"
"['ua' 'bf' 'ch***ya' 'spotted' ':-D' 'dude' 'teriii' 'gal' 'tujhe' 'apne'
 'kutte' 'se' 'compare' 'kar' 'rii' 'h' ':-P' ':-D']","['lang1' 'lang1' 'lang2' 'lang1' 'other' 'lang1' 'lang2' 'lang1' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'other']"
"['tu' 'such' 'me' 'pagal' 'ho' 'gai' 'h' '......' 'jo' 'ho' 'gya' 'so'
 'ho' 'gya' 'babu' '....' 'ek' 'achhi' 'n' 'hppy' 'life' 'start' 'kr'
 '....']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'other']"
"['Hitendra' 'Katiyar' 'Saharsha' 'Keshkar' 'Sanket' 'Rathi' 'Akhil'
 'Sharma' 'Manish' 'Chalana' '...' 'Bihari' 'Bengali' 'h' 'kya' '?']","['name' 'name' 'name' 'name' 'name' 'name' 'name' 'name' 'name' 'name' 'other' 'name' 'name'
 'lang2' 'lang2' 'other']"
"['Sir' 'keep' 'going' 'our' 'green' 'energy' 'projects' '..' 'and' 'one'
 'more' 'time' 'pak' 'needs' 'a' 'thunder' 'storm' '..' '..' '..']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'other' 'other']"
['highest' 'award' 'kya' 'hota' 'h' 'bhai' '!!' '!?' '??'],['lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other' 'other']
"['If' 'you' 'cannot' 'be' 'a' 'poet' ',' 'be' 'the' 'poem' '.' '–' 'David'
 'Carradine']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1'
 'lang1' 'other' 'other' 'name' 'name']"
['Maine' 'yeh' 'film' '56' 'baar' 'dekhi' 'hai'],['lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2']
"['Wow' '!!' ';)' 'how' 'sweet' ':)' 'Friendship' 'goals' ';)' 'Happy'
 'birthday' 'Farhan' '..' 'I' 'mean' 'Maddy' '..' 'hehe']","['lang1' 'other' 'other' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'other'
 'lang1' 'lang1' 'name' 'other' 'lang1' 'lang1' 'name' 'other' 'lang2']"
"['@DennisCricket_' 'You' 'fuckin' 'resist' ',' 'get' 'lost' 'you' 'piece'
 'of' 'shit' '.']","['other' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other']"
['e' 'mere' 'zohra' 'zabi' 'tumhe' 'maloom' 'nahi'],['lang2' 'lang2' 'name' 'name' 'lang2' 'lang2' 'lang2']
"['Super' 'and' 'super' 'madam' ',' 'looks' 'so' 'cute']",['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1']
"['Sir' 'how' 'sweet' 'look' 'Sir' 'khaki' 'Aysalak' 'ta' 'hay' 'my' 'be'
 'Aapka' 'Jessa' 'banjaom' 'Sir' 'you' 'very' 'lucky' 'kid' 'ki' 'Allah'
 'kA' 'baandah' 'My' 'Aapki' 'li' 'to' 'Allah' 'say' 'duA' 'magunga']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang2' 'name' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'name'
 'lang2' 'lang2' 'lang2']"
['Mai' 'movie' 'zaroor' 'dekhunga' 'bhai' 'jaan'],['lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2']
"['Followed' 'by' 'Agent' 'Provocateur' ',' 'a' 'powerful' 'political'
 'piece' 'of' 'dance' 'theatre' 'by' 'Sujay' 'Saple' '.' 'Travelling' 'to'
 'Bangalore' ""'s"" 'Rang' 'Shankara' '.' 'Go' 'see' '.']","['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'other' 'lang1' 'lang1' 'name'
 'lang1' 'name' 'name' 'other' 'lang1' 'lang1' 'other']"
"['@NavenduSingh_' 'AAPiya' ':' 'Fuck' 'me' 'harder' ',' 'fuck' 'me' ','
 'fuck' 'me' 'with' 'your' 'big' 'black' 'dick' ',' 'aaahhh' '😂😂😂']","['other' 'name' 'other' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1'
 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'other' 'other']"
"['@StarSportsIndia' 'READY' 'FOR' 'TOSS' '.' 'HEAD' 'IS' 'CALL' 'ITS'
 'TAILS' '""""""""""""""""""""""""""""""""""""""""""""' 'INDIA' 'WINS' ""TO$$''"" 'TOSS' 'JITA'
 'HAI' 'AB' 'MATCH' 'JITO' '#INDvsPAK']","['other' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'name' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang2' 'lang1']"
['@Ileana_Official' '@SaritaTanwar' 'Looking' 'fantastic'],['lang1' 'other' 'lang1' 'lang1']
['but' 'how' '?'],['lang1' 'lang1' 'other']
"['@Dimafadma' 'Stay' 'happy' 'and' 'blessed' 'my' 'friend' ',' 'do'
 'remember' 'you' 'in' 'my' 'prayers' 'each' 'day' '.' 'Allah' 'hafiz' '!'
 '(' 'am' 'I' 'correct' 'in' 'the' 'words' ')']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'name' 'fw'
 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
"['Without' 'Dreams' 'We' 'reach' 'nothing' '.' 'Without' 'Love' 'We'
 'feel' 'nothing' '.' 'Without' 'God' 'We' 'are' 'nothing' '..' '..' '..'
 '.,' '..' '..' '..' '#Life']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'other' 'other' 'other' 'other' 'other' 'other' 'lang1']"
"['@bsesdelhi' 'No' '..' '.' 'It' ""'s"" 'still' 'pending' '..' '.' 'nobody'
 'came' 'from' 'your' 'side' '.']","['other' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
['Best' 'of' 'luck' 'legend' '!'],['lang1' 'lang1' 'lang1' 'lang1' 'other']
"['Having' 'a' 'hard' 'time' 'shopping' 'over' '@Paytm' 'app' '.' 'It'
 'crashes' 'while' 'loading' 'the' 'product' 'details' '.']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
"['vote' 'for' 'the' 'dream' 'team' 'bjp' '/' 'nda' 'under' 'the'
 'leadership' 'of' 'namo']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'other' 'name' 'lang1' 'lang1'
 'lang1' 'lang1' 'name']"
"['khuda' 'na' 'de' 'kisi' 'ko' 'raho' 'me' ',']",['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']
"['Radio' 'Nasha' '91.9' 'pe' 'tune' 'Karo' 'every' 'sat-sun' '4pm' 'with'
 '#Salimkhan' 'aur' 'enjoy' 'Karo' '!']","['name' 'name' 'other' 'lang2' 'lang2' 'lang2' 'lang1' 'name' 'other' 'lang1'
 'name' 'lang2' 'lang1' 'lang2' 'other']"
"['Salman' 'bhai' 'aap' 'ki' 'movie' 'Sultan' 'is' 'too' 'good' 'and'
 'carry-on' 'is' 'terha' 'ki' 'movies' 'banaty' 'rhain' 'or' 'apny'
 'Pakistani' 'fans' 'ky' 'lia' 'b' 'kuch' 'kary' '.']","['name' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2'
 'lang2' 'name' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other']"
"['Unrequited' 'love' '..' '.' 'You' 'do' ""n't"" 'have' 'to' 'worry' 'about'
 'the' 'ending' '.']","['lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
['Time' 'To' 'Take' 'Emre' 'Off' 'Or' 'He' 'Will' 'Get' 'Sent' 'Off'],"['lang1' 'lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1']"
"['@ShakiraBindass' '@GSciyari' 'Hope' 'channel' 'will' 'make' '2' 'season'
 ',' 'would' 'love' 'to' 'be' 'a' 'part' 'of' 'it']","['other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']"
"['I' 'am' 'Zoyeb' '.' 'Happy' 'Birthday' 'Farhan' '(' 'Madhavan' ')' 'Hi'
 'Aamir' 'i' 'am' 'your' 'big' 'big' 'friend' 'and' 'i' 'm' 'so'
 'desperate' 'and' 'anxcious' 'to' 'see' 'u' 'in' 'ur' 'upcoming' 'movies'
 'like' 'Dangal' '.' 'I' 'm' 'happy' 'no' 'one' 'like' 'u' '.' 'U' 'r'
 'really' 'a' 'perfectionist' 'about' 'everything' 'and' 'specially'
 'about' 'ur' 'character' 'n' 'movies' '.' 'M' 'from' 'uk' 'love' 'you'
 'and' 'ur' 'movies' '.' 'Ramadaan' 'Mubarak' 'in' 'Advance' '.']","['lang1' 'lang1' 'name' 'other' 'lang1' 'lang1' 'name' 'other' 'name' 'other'
 'lang2' 'name' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'name' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'name' 'lang2' 'lang1' 'lang1' 'other']"
"['Do' 'you' 'really' 'need' 'words' '?' 'Ye' 'mauka' 'humne' 'haath' 'se'
 'jaane' 'nahin' 'diya' '..' 'This' 'time' 'we' 'are' 'winning' '!'
 '#WontGiveItBack' '#IndvsSA']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'lang1']"
"['#307' ':' 'I' 'once' 'stole' 'a' ""campusite's"" 'laptop' 'and' 'sold'
 'it' 'online' '.' 'Bought' 'a' 'lot' 'of' 'goodies' 'that' 'month' '.'
 ""I'm"" 'not' 'sorry' '.']","['other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'other']"
"['u' 'come' 'at' '4' '0r' '5' '""""""""""""""""""""""""""""""""""""""""""""' '?']",['lang1' 'lang1' 'lang1' 'other' 'lang1' 'other' 'other' 'other']
"['I' 'am' 'from' 'Rajasthan' ',' 'churu' 'virat' 'my' 'fevrit' 'player'
 'so' '3rd' 'match' 'in' '100' '+']","['lang1' 'lang1' 'lang1' 'name' 'other' 'lang2' 'name' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other']"
"['Sir' 'g' 'fikar' 'na' 'karein' 'mei' 'bhi' 'arha' 'hun' 'new'
 'bollywood' 'star' '(' 'Shahab' 'khan' ')' '..']","['lang1' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'name' 'name' 'lang1' 'other' 'name' 'name' 'other' 'other']"
"['It' '’s' 'important' 'to' 'make' '#friendships' 'that' 'are' '#deeper'
 'than' '#gossiping' '&' '#drinking' 'and' '#smoking' 'and' '#going'
 '#out' '.' '$Make' 'friends' 'who' 'you' 'can' 'go' '…']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']"
"['i' 'love' 'u' 'soooooooooooooooooooooooooooooooooooooooooooooooo' 'much'
 'my' 'jaan']",['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2']
"['#293' ':' 'H6' 'just' 'got' 'a' 'new' 'basky' 'court' 'completed' 'a'
 'few' 'days' 'ago' '.' 'Since' 'then' ',' 'a' 'group' 'of' 'three' 'has'
 'been' 'trying' 'to' 'score' 'baskets' 'all' 'day' 'in' 'and' 'day' 'out'
 ',' 'all' 'in' 'vain' '.' 'The' 'ball' 'hits' 'the' 'rim' 'or' 'the'
 'hoop' 'or' 'the' 'board' 'and' 'bounces' 'back' 'at' 'them' 'as' 'if'
 'it' 'were' 'a' 'boomerang' '.' 'They' 'are' 'there' 'when' 'I' 'wake'
 'up' 'at' '8am' 'and' 'when' 'I' 'go' 'to' 'the' 'canteen' 'at' '1pm' ','
 'when' 'I' 'go' 'for' 'tiffin' 'at' '5pm' 'and' 'when' 'I' 'go' 'for'
 'dinner' 'at' '9pm' '.' 'But' 'the' 'basket' 'eludes' 'them' '..' '.'
 'My' 'heart' 'goes' 'out' 'to' 'them' '.']","['other' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other']"
"[""You'll"" 'be' 'in' 'trouble' 'someday' '!']",['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other']
"['09.09.2016' 'eid' 'to' 'gyi' 'na' 'bhai' 'ab' 'next' 'month' 'bakra'
 'eid' 'hai']","['other' 'name' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang1' 'name'
 'name' 'lang2']"
"['Its' 'A' 'real' 'leader' 'ship' 'we' 'have' 'ever' 'seen' ',' 'sir'
 'you' 'bring' 'back' 'relationship' 'with' 'Russia' 'on' 'track' 'again']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'lang1'
 'lang1' 'lang1']"
['Bhad' 'ma' 'ja' 'aamir' 'khan'],['lang2' 'lang2' 'lang2' 'name' 'name']
"['Wow' 'Wishes' 'Sir' '.' '..' 'Wishing' 'U' 'Very' 'Good' 'Morning' 'Sir'
 'Have' 'A' 'Marvelous' 'Day' 'On' 'Marvelous' 'Monday' 'Sir' '.' '.' '.'
 'L' '❤' 've' 'U' 'Sir']","['lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name'
 'lang1' 'other' 'other' 'other' 'lang1' 'other' 'lang2' 'lang1' 'lang1']"
"['@Selinarai131Rai' 'Are' 'you' 'very' 'beautiful' 'girl' 'like' 'you'
 'so' 'much']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1']"
['Modi' 'ji' 'ko' 'toh' 'dil' 'se' 'salam'],['name' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2']
"['congress' 'issues' 'clarification' 'apparently' 'for' 'rahul' ','
 'anyone' 'with' 'an' 'average' 'iq' 'is' 'from' 'the' 'intelligence'
 'bureau']","['name' 'lang1' 'lang1' 'lang1' 'lang1' 'name' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']"
"['@Snapdeal_Help' 'Refusing' 'returns' 'on' 'products' 'on' 'which'
 'there' 'is' 'no' 'questions' 'asked' 'return' 'policy']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']"
['I' 'miss' 'you' 'every' 'time'],['lang1' 'lang1' 'lang1' 'lang1' 'lang1']
['long' 'live' 'INDO' 'RUSSIAN' 'partnership'],['lang1' 'lang1' 'name' 'name' 'lang1']
"['#198' ':' 'How' 'many' 'confessions' 'posted' 'here' 'are' 'real' '?'
 'Why' 'do' 'I' 'get' 'the' 'sense' 'that' 'many' 'may' 'simply' 'be'
 'fantasies' 'of' 'some' 'folks' 'and' 'a' 'few' 'others' 'may' 'simply'
 'be' 'teasers' 'to' 'provoke' 'comments' '.' 'No' '?']","['other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'other' 'lang1' 'other']"
"['Wishing' 'you' 'the' 'BEST' 'Diwali' 'Ever' 'PC' 'Jee-' 'Agar' 'bore'
 'ho' 'jao' 'tho' 'aa' 'jao' 'Washington' 'DC' '!!']","['lang1' 'lang1' 'lang1' 'lang1' 'name' 'lang1' 'name' 'lang2' 'lang2' 'lang1'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'name' 'name' 'other']"
"['Bhai' 'humaein' 'kohli' 'dai' 'dou' 'badlay' 'mein' 'kuch' 'fast'
 'bowlers' 'lsi' 'lou' 'pakistan' 'sai' '..' 'deal' '??']","['lang2' 'lang2' 'name' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1'
 'lang1' 'lang1' 'lang1' 'name' 'lang2' 'other' 'lang1' 'other']"
"['What' 'if' 'you' ""'re"" 'not' 'the' 'right' 'one' '?' 'You' ""'re"" 'just'
 'there' 'because' 'it' ""'s"" 'too' 'much' 'hard' 'work' 'to' 'find' 'the'
 'right' 'one' 'and' 'start' 'over' '?']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other']"
"['1/2' 'Mehrabpur' 'Rahwasi' 'Zulfqar' 'Gangharo' 'ke' 'Sath' 'Sukkur'
 'ToolPlaza' 'ke' 'Amle' 'ki' 'Ziyadati' '.' 'Tool' 'Na' 'Dene' 'pe'
 '16000' 'Naqd' 'cheen' 'k' 'Gunda' 'Gardi' 'ki']","['other' 'name' 'name' 'name' 'name' 'lang2' 'lang2' 'name' 'lang1' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']"
"['All' 'the' 'best' 'indian' 'team' 'aaj' 'virat' 'bhai' 'jitna' 'jaroori'
 'hai' 'jay' 'hind' 'jay' 'bharat']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'name' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'name']"
"['_/\\\\_' 'I' 'actually' 'know' 'this' 'guy' 'and' ""it's"" 'a' 'true'
 'story' ',' 'in' 'fact' 'this' 'guy' 'is' 'M2K' 'but' 'for' 'some'
 'reason' 'he' 'chose' 'not' 'to' 'sign' 'his' 'name' 'to' 'the' 'post'
 '~' 'Eddie']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'name'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'name']"
['Great' 'god' 'bless' 'you'],['lang1' 'lang1' 'lang1' 'lang1']
